BioMASSver                             0.22
date                             2013/12/18
hour                               11:56:05
biomass.model.physiology.Plankton2
Generic                       
Plankton                      
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                            400
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                        165600          400            0            0            0   56966.6408   26807.8310  284497.0384       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        169200          400            0            0            0   56967.5466   26808.2572  284497.0384       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        172800          400            0            0            0   56967.5468   26808.2573  284497.0384       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        176400          400            0            0            0   56967.5467   26808.2573  301384.4795       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        180000          400            0            0            0   56967.5468   26808.2573  301384.4795       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        183600          400            0            0            0   56967.5283   26808.2486  318504.9902       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        187200          400            0            0            0   56967.5468   26808.2573  318504.9902       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        190800          400            0            0            0   56962.7343   26805.9926  334649.7775       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        194400          400            0            0            0   56967.5468   26808.2573  334649.7775       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        198000          400            0            0            0   56967.5468   26808.2573  334649.7775       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        201600          400            0            0            0   56967.5459   26808.2569  350675.3210       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        205200          400            0            0            0   56967.5468   26808.2573  350675.3210       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        208800          400            0            0            0   56967.3280   26808.1544  366287.8298       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        212400          400            0            0            0   56967.5468   26808.2573  366287.8298       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
