BioMASSver                             0.22
date                             2013/12/19
hour                               19:06:43
biomass.model.physiology.Plankton2
Generic                       
Plankton                      
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                              4
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                             0            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         46800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         50400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         54000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         57600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         61200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         64800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         68400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         72000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         75600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         79200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         82800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         86400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         90000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         93600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         97200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        100800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        104400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        108000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        111600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        115200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        118800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        122400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        126000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        129600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        133200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        136800            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        140400            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        144000            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        147600            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                        151200            4            0            0            0     569.6755     268.0826       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
