BioMASSver                             0.22
date                             2014/11/11
hour                               18:14:55
refuges                                 246
refs_minrad                         51.6588
refs_maxrad                        249.5612
refs_areafrac                        0.0100
refs_disp                        13194.8993
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        71.4491      91.2393     111.0295     130.8198     150.6100     170.4002     190.1905     209.9807     229.7709     249.5612
refs_count                               23           25           26           29           24           23           22           17           24           33
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            8            6            8            9           11           15           17           19           42           50
                          7200            8            6            8            9           11           15           17           19           42           50
                         10800           17           11           29           64           24           68           49           48           82          205
                         14400           17           11           29           64           24           68           49           48           82          205
                         18000           63           59           98          115           86          180          131          102          162          348
                         21600           63           59           98          115           86          180          131          102          162          348
                         25200           63           59           98          115           86          180          131          102          162          348
