BioMASSver                             0.22
date                             2014/11/12
hour                               17:04:10
refuges                                 280
refs_minrad                         50.5256
refs_maxrad                        249.8748
refs_areafrac                        0.0100
refs_disp                        12421.7663
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.4606      90.3955     110.3304     130.2653     150.2002     170.1352     190.0701     210.0050     229.9399     249.8748
refs_count                               33           32           33           37           22           27           20           30           23           23
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            0            6            8           11            8           11           20           58           35           32
                          7200            0            6            8           11            8           11           20           58           35           32
                         10800            3           20           25           34           25           58           45          145           88           80
                         14400            3           20           25           34           25           58           45          145           88           80
                         18000           22           84          126          154           68          168          104          225          124          182
                         21600           22           84          126          154           68          168          104          225          124          182
                         25200           22           84          126          154           68          168          104          225          124          182
                         28800           50          160          207          302          122          283          150          370          254          343
                         32400           50          160          207          302          122          283          150          370          254          343
                         36000           72          219          256          423          159          378          182          454          310          420
                         39600           72          219          256          423          159          378          182          454          310          420
                         43200           72          219          256          423          159          378          182          454          310          420
                         46800          105          254          294          506          191          448          236          527          375          495
                         50400          105          254          294          506          191          448          236          527          375          495
                         54000          127          291          349          593          203          509          267          590          406          548
                         57600          127          291          349          593          203          509          267          590          406          548
                         61200          146          314          381          668          221          573          291          633          446          591
                         64800          146          314          381          668          221          573          291          633          446          591
                         68400          146          314          381          668          221          573          291          633          446          591
                         72000          160          347          438          723          240          637          312          702          499          637
                         75600          160          347          438          723          240          637          312          702          499          637
                         79200          189          377          481          780          261          683          333          735          554          712
                         82800          189          377          481          780          261          683          333          735          554          712
                         86400          189          377          481          780          261          683          333          735          554          712
                         90000          208          405          516          837          286          732          372          780          584          780
                         93600          208          405          516          837          286          732          372          780          584          780
                         97200          216          430          550          886          300          785          393          818          614          808
                        100800          216          430          550          886          300          785          393          818          614          808
                        104400          230          463          584          936          316          824          417          849          639          845
                        108000          230          463          584          936          316          824          417          849          639          845
                        111600          230          463          584          936          316          824          417          849          639          845
                        115200          238          484          620          977          339          871          442          874          661          868
                        118800          238          484          620          977          339          871          442          874          661          868
                        122400          261          502          643         1013          368          942          464          901          683          891
                        126000          261          502          643         1013          368          942          464          901          683          891
                        129600          261          502          643         1013          368          942          464          901          683          891
                        133200          274          519          665         1046          383          983          479          918          702          928
                        136800          274          519          665         1046          383          983          479          918          702          928
                        140400          283          538          696         1086          394         1020          495          944          717          946
                        144000          283          538          696         1086          394         1020          495          944          717          946
                        147600          293          556          721         1124          407         1058          523          977          741          981
                        151200          293          556          721         1124          407         1058          523          977          741          981
                        154800          293          556          721         1124          407         1058          523          977          741          981
                        158400          301          585          754         1152          418         1086          543         1000          770         1004
                        162000          301          585          754         1152          418         1086          543         1000          770         1004
                        165600          314          605          778         1182          433         1137          563         1027          797         1021
                        169200          314          605          778         1182          433         1137          563         1027          797         1021
                        172800          314          605          778         1182          433         1137          563         1027          797         1021
                        176400          328          624          802         1223          452         1167          576         1068          834         1042
                        180000          328          624          802         1223          452         1167          576         1068          834         1042
                        183600          337          649          828         1257          468         1215          597         1089          858         1066
                        187200          337          649          828         1257          468         1215          597         1089          858         1066
                        190800          351          669          858         1294          479         1262          614         1138          878         1103
                        194400          351          669          858         1294          479         1262          614         1138          878         1103
                        198000          351          669          858         1294          479         1262          614         1138          878         1103
                        201600          369          693          885         1338          494         1294          632         1159          900         1145
                        205200          369          693          885         1338          494         1294          632         1159          900         1145
                        208800          387          714          903         1367          514         1331          650         1175          914         1175
                        212400          387          714          903         1367          514         1331          650         1175          914         1175
                        216000          387          714          903         1367          514         1331          650         1175          914         1175
                        219600          397          724          928         1407          524         1363          665         1189          934         1223
                        223200          397          724          928         1407          524         1363          665         1189          934         1223
                        226800          409          736          956         1436          534         1389          675         1205          950         1247
                        230400          409          736          956         1436          534         1389          675         1205          950         1247
                        234000          415          750          969         1467          553         1442          682         1223          968         1268
                        237600          415          750          969         1467          553         1442          682         1223          968         1268
                        241200          415          750          969         1467          553         1442          682         1223          968         1268
                        244800          420          766          993         1488          567         1470          704         1238          983         1283
                        248400          420          766          993         1488          567         1470          704         1238          983         1283
                        252000          426          776         1011         1515          583         1510          725         1260         1010         1304
                        255600          426          776         1011         1515          583         1510          725         1260         1010         1304
                        259200          426          776         1011         1515          583         1510          725         1260         1010         1304
                        262800          436          792         1035         1546          599         1559          735         1291         1034         1325
                        266400          436          792         1035         1546          599         1559          735         1291         1034         1325
                        270000          443          812         1046         1573          612         1601          752         1310         1050         1345
                        273600          443          812         1046         1573          612         1601          752         1310         1050         1345
                        277200          447          833         1069         1606          620         1631          765         1341         1066         1365
                        280800          447          833         1069         1606          620         1631          765         1341         1066         1365
                        284400          447          833         1069         1606          620         1631          765         1341         1066         1365
                        288000          461          855         1095         1638          631         1668          774         1367         1082         1380
                        291600          461          855         1095         1638          631         1668          774         1367         1082         1380
                        295200          471          866         1108         1662          645         1701          785         1383         1093         1398
                        298800          471          866         1108         1662          645         1701          785         1383         1093         1398
                        302400          471          866         1108         1662          645         1701          785         1383         1093         1398
                        306000          482          873         1134         1696          650         1730          791         1405         1111         1416
                        309600          482          873         1134         1696          650         1730          791         1405         1111         1416
                        313200          489          887         1157         1725          658         1767          804         1414         1120         1434
                        316800          489          887         1157         1725          658         1767          804         1414         1120         1434
                        320400          496          896         1174         1749          664         1791          810         1423         1136         1446
                        324000          496          896         1174         1749          664         1791          810         1423         1136         1446
                        327600          496          896         1174         1749          664         1791          810         1423         1136         1446
                        331200          508          903         1181         1763          678         1814          822         1437         1147         1460
                        334800          508          903         1181         1763          678         1814          822         1437         1147         1460
                        338400          520          913         1196         1792          685         1842          844         1450         1160         1471
                        342000          520          913         1196         1792          685         1842          844         1450         1160         1471
                        345600          520          913         1196         1792          685         1842          844         1450         1160         1471
                        349200          526          924         1211         1825          699         1874          851         1475         1176         1481
                        352800          526          924         1211         1825          699         1874          851         1475         1176         1481
                        356400          536          936         1224         1843          708         1922          865         1492         1189         1496
                        360000          536          936         1224         1843          708         1922          865         1492         1189         1496
                        363600          544          958         1241         1865          712         1950          877         1517         1203         1507
                        367200          544          958         1241         1865          712         1950          877         1517         1203         1507
                        370800          544          958         1241         1865          712         1950          877         1517         1203         1507
                        374400          552          976         1259         1888          722         1978          900         1540         1221         1522
                        378000          552          976         1259         1888          722         1978          900         1540         1221         1522
                        381600          558          987         1274         1913          733         2003          918         1553         1230         1532
                        385200          558          987         1274         1913          733         2003          918         1553         1230         1532
                        388800          558          987         1274         1913          733         2003          918         1553         1230         1532
                        392400          567          991         1284         1940          739         2032          926         1564         1241         1549
                        396000          567          991         1284         1940          739         2032          926         1564         1241         1549
                        399600          570          998         1291         1963          748         2056          934         1583         1254         1578
                        403200          570          998         1291         1963          748         2056          934         1583         1254         1578
                        406800          576         1003         1299         1989          756         2076          942         1594         1260         1594
                        410400          576         1003         1299         1989          756         2076          942         1594         1260         1594
                        414000          576         1003         1299         1989          756         2076          942         1594         1260         1594
                        417600          591         1008         1315         2005          766         2096          950         1606         1267         1600
                        421200          591         1008         1315         2005          766         2096          950         1606         1267         1600
                        424800          601         1012         1324         2034          770         2127          960         1615         1282         1611
                        428400          601         1012         1324         2034          770         2127          960         1615         1282         1611
                        432000          601         1012         1324         2034          770         2127          960         1615         1282         1611
                        435600          606         1020         1338         2066          773         2153          968         1637         1296         1626
                        439200          606         1020         1338         2066          773         2153          968         1637         1296         1626
                        442800          613         1029         1351         2078          779         2192          976         1648         1310         1637
                        446400          613         1029         1351         2078          779         2192          976         1648         1310         1637
                        450000          619         1040         1358         2093          785         2233          987         1668         1327         1647
                        453600          619         1040         1358         2093          785         2233          987         1668         1327         1647
                        457200          619         1040         1358         2093          785         2233          987         1668         1327         1647
                        460800          623         1046         1366         2113          788         2272          995         1686         1335         1667
                        464400          623         1046         1366         2113          788         2272          995         1686         1335         1667
                        468000          626         1049         1371         2124          790         2292          999         1699         1340         1693
                        471600          626         1049         1371         2124          790         2292          999         1699         1340         1693
                        475200          626         1049         1371         2124          790         2292          999         1699         1340         1693
                        478800          632         1053         1382         2136          792         2306         1017         1711         1352         1713
                        482400          632         1053         1382         2136          792         2306         1017         1711         1352         1713
                        486000          637         1059         1389         2150          794         2328         1033         1726         1370         1729
                        489600          637         1059         1389         2150          794         2328         1033         1726         1370         1729
                        493200          639         1062         1407         2164          798         2343         1050         1736         1378         1743
                        496800          639         1062         1407         2164          798         2343         1050         1736         1378         1743
                        500400          639         1062         1407         2164          798         2343         1050         1736         1378         1743
                        504000          642         1066         1428         2168          806         2351         1070         1744         1388         1756
                        507600          642         1066         1428         2168          806         2351         1070         1744         1388         1756
                        511200          645         1071         1435         2196          808         2368         1078         1757         1395         1766
                        514800          645         1071         1435         2196          808         2368         1078         1757         1395         1766
                        518400          645         1071         1435         2196          808         2368         1078         1757         1395         1766
                        522000          646         1082         1442         2212          816         2384         1085         1772         1406         1782
                        525600          646         1082         1442         2212          816         2384         1085         1772         1406         1782
                        529200          646         1088         1449         2225          827         2411         1094         1786         1410         1793
                        532800          646         1088         1449         2225          827         2411         1094         1786         1410         1793
                        536400          648         1093         1452         2239          834         2426         1099         1797         1420         1816
                        540000          648         1093         1452         2239          834         2426         1099         1797         1420         1816
                        543600          648         1093         1452         2239          834         2426         1099         1797         1420         1816
                        547200          655         1097         1459         2255          840         2438         1102         1813         1429         1847
                        550800          655         1097         1459         2255          840         2438         1102         1813         1429         1847
                        554400          656         1100         1460         2286          844         2452         1105         1823         1435         1863
                        558000          656         1100         1460         2286          844         2452         1105         1823         1435         1863
                        561600          656         1100         1460         2286          844         2452         1105         1823         1435         1863
                        565200          659         1104         1461         2306          852         2461         1110         1841         1442         1868
                        568800          659         1104         1461         2306          852         2461         1110         1841         1442         1868
                        572400          660         1109         1466         2317          858         2476         1118         1853         1455         1889
                        576000          660         1109         1466         2317          858         2476         1118         1853         1455         1889
                        579600          663         1115         1469         2323          862         2517         1122         1858         1466         1906
                        583200          663         1115         1469         2323          862         2517         1122         1858         1466         1906
                        586800          663         1115         1469         2323          862         2517         1122         1858         1466         1906
                        590400          672         1122         1480         2329          865         2578         1131         1866         1477         1926
                        594000          672         1122         1480         2329          865         2578         1131         1866         1477         1926
                        597600          673         1129         1507         2341          869         2601         1133         1877         1479         1934
                        601200          673         1129         1507         2341          869         2601         1133         1877         1479         1934
                        604800          673         1129         1507         2341          869         2601         1133         1877         1479         1934
                        608400          674         1136         1523         2347          879         2621         1165         1888         1484         1937
                        612000          674         1136         1523         2347          879         2621         1165         1888         1484         1937
                        615600          675         1144         1530         2356          885         2636         1176         1897         1490         1945
                        619200          675         1144         1530         2356          885         2636         1176         1897         1490         1945
                        622800          675         1146         1532         2365          895         2651         1181         1901         1497         1947
                        626400          675         1146         1532         2365          895         2651         1181         1901         1497         1947
                        630000          675         1146         1532         2365          895         2651         1181         1901         1497         1947
                        633600          675         1152         1535         2379          901         2660         1187         1905         1503         1947
                        637200          675         1152         1535         2379          901         2660         1187         1905         1503         1947
                        640800          675         1155         1537         2419          904         2675         1188         1906         1513         1954
                        644400          675         1155         1537         2419          904         2675         1188         1906         1513         1954
                        648000          675         1155         1537         2419          904         2675         1188         1906         1513         1954
                        651600          678         1158         1543         2438          911         2686         1198         1915         1529         1957
                        655200          678         1158         1543         2438          911         2686         1198         1915         1529         1957
                        658800          682         1160         1548         2446          913         2693         1212         1918         1542         1972
                        662400          682         1160         1548         2446          913         2693         1212         1918         1542         1972
                        666000          688         1163         1555         2456          921         2699         1224         1922         1555         1994
                        669600          688         1163         1555         2456          921         2699         1224         1922         1555         1994
                        673200          688         1163         1555         2456          921         2699         1224         1922         1555         1994
                        676800          696         1170         1559         2476          924         2717         1238         1929         1564         2002
                        680400          696         1170         1559         2476          924         2717         1238         1929         1564         2002
                        684000          699         1174         1566         2492          934         2779         1247         1933         1575         2004
                        687600          699         1174         1566         2492          934         2779         1247         1933         1575         2004
                        691200          699         1174         1566         2492          934         2779         1247         1933         1575         2004
                        694800          705         1176         1570         2500          937         2813         1254         1941         1579         2008
                        698400          705         1176         1570         2500          937         2813         1254         1941         1579         2008
