BioMASSver                             0.22
date                             2013/12/16
hour                               12:32:07
refuges                                 273
refs_minrad                         51.2170
refs_maxrad                        249.4226
refs_areafrac                        0.0100
refs_disp                        12934.4665
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        71.0375      90.8581     110.6786     130.4992     150.3198     170.1403     189.9609     209.7814     229.6020     249.4226
refs_count                               30           23           33           30           30           32           23           31           26           15
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            0            2            3           10           20           35            4           38           17            3
                          7200            0            2            3           10           20           35            4           38           17            3
                         10800            0            6           10           12           32           42           21           55           52           11
                         14400            0            6           10           12           32           42           21           55           52           11
                         18000            0            6           15           14           43           51           47           64           71           37
                         21600            0            6           15           14           43           51           47           64           71           37
                         25200            0            6           15           14           43           51           47           64           71           37
                         28800            2            6           21           33           52           67           70           68           90           48
                         32400            2            6           21           33           52           67           70           68           90           48
                         36000            2            9           26           39           54           75          108           80          111           99
                         39600            2            9           26           39           54           75          108           80          111           99
                         43200            2            9           26           39           54           75          108           80          111           99
                         46800            3           10           53           55           55           81          143           94          127          109
                         50400            3           10           53           55           55           81          143           94          127          109
                         54000            3           11           58           56           58           86          146          186          135          116
                         57600            3           11           58           56           58           86          146          186          135          116
                         61200            3           16           72           57           62          110          152          190          140          117
                         64800            3           16           72           57           62          110          152          190          140          117
                         68400            3           16           72           57           62          110          152          190          140          117
                         72000            3           16           73           59           73          127          153          202          142          126
                         75600            3           16           73           59           73          127          153          202          142          126
                         79200            4           21           74           61           74          137          165          213          192          137
                         82800            4           21           74           61           74          137          165          213          192          137
                         86400            4           21           74           61           74          137          165          213          192          137
                         90000            4           21           77           75           76          144          182          226          224          160
                         93600            4           21           77           75           76          144          182          226          224          160
                         97200            4           21           78           84           78          312          204          235          251          176
                        100800            4           21           78           84           78          312          204          235          251          176
                        104400            5           21           87           86           80          320          209          249          267          179
                        108000            5           21           87           86           80          320          209          249          267          179
                        111600            5           21           87           86           80          320          209          249          267          179
                        115200            5           21           89           87           91          327          222          256          267          188
                        118800            5           21           89           87           91          327          222          256          267          188
                        122400            5           22           93           87           98          329          223          263          282          192
                        126000            5           22           93           87           98          329          223          263          282          192
                        129600            5           22           93           87           98          329          223          263          282          192
                        133200            5           22           93           97           98          329          230          273          311          194
                        136800            5           22           93           97           98          329          230          273          311          194
