BioMASSver                             0.22
date                             2024/11/04
hour                               15:59:22
refuges                                 251
refs_minrad                         52.3758
refs_maxrad                        249.8951
refs_areafrac                        0.0100
refs_disp                        12164.0849
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        72.1277      91.8797     111.6316     131.3835     151.1355     170.8874     190.6393     210.3913     230.1432     249.8951
refs_count                               28           29           21           26           28           22           22           22           22           31
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            1            1            5            8           39           11           22           12           23           44
                          7200            1            1            5            8           39           11           22           12           23           44
                         10800            6           13           19           21           72           36           45           56           57          152
                         14400            6           13           19           21           72           36           45           56           57          152
                         18000          107           53           65           75          200          111           97          215          140          247
                         21600          107           53           65           75          200          111           97          215          140          247
                         25200          107           53           65           75          200          111           97          215          140          247
                         28800          199          130          130          134          366          211          187          282          230          383
                         32400          199          130          130          134          366          211          187          282          230          383
                         36000          271          188          186          200          479          237          243          335          318          480
                         39600          271          188          186          200          479          237          243          335          318          480
                         43200          271          188          186          200          479          237          243          335          318          480
                         46800          323          230          236          239          557          268          296          403          371          560
                         50400          323          230          236          239          557          268          296          403          371          560
                         54000          369          259          262          264          635          309          332          443          423          601
                         57600          369          259          262          264          635          309          332          443          423          601
                         61200          404          289          284          297          734          334          366          520          468          640
                         64800          404          289          284          297          734          334          366          520          468          640
                         68400          404          289          284          297          734          334          366          520          468          640
                         72000          423          311          312          319          777          383          400          574          487          692
                         75600          423          311          312          319          777          383          400          574          487          692
                         79200          461          336          333          338          831          404          425          612          534          724
                         82800          461          336          333          338          831          404          425          612          534          724
                         86400          461          336          333          338          831          404          425          612          534          724
                         90000          496          362          359          369          875          424          447          638          570          767
                         93600          496          362          359          369          875          424          447          638          570          767
                         97200          529          378          394          404          938          446          478          676          611          805
                        100800          529          378          394          404          938          446          478          676          611          805
