BioMASSver                             0.22
date                             2016/06/07
hour                               17:39:11
biomass.model.taxonomy.Carnivore0
Sphyraena-barracuda           
Barracuda                     
longevity                             11715
linf                               178.0000
t0                                  -1.1900
k                                    0.0900
a                                    0.0108
b                                    2.8400
newborn_orgs                             10
pop_deathrate                        0.0003
rep_cycle                               365
age_classes                              33
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01       orgs02        hid02     killed02    starved02   leanmass02    fatmass02   killmass02  starvemas02       orgs03        hid03     killed03    starved03   leanmass03    fatmass03   killmass03  starvemas03       orgs04        hid04     killed04    starved04   leanmass04    fatmass04   killmass04  starvemas04       orgs05        hid05     killed05    starved05   leanmass05    fatmass05   killmass05  starvemas05       orgs06        hid06     killed06    starved06   leanmass06    fatmass06   killmass06  starvemas06       orgs07        hid07     killed07    starved07   leanmass07    fatmass07   killmass07  starvemas07       orgs08        hid08     killed08    starved08   leanmass08    fatmass08   killmass08  starvemas08       orgs09        hid09     killed09    starved09   leanmass09    fatmass09   killmass09  starvemas09       orgs10        hid10     killed10    starved10   leanmass10    fatmass10   killmass10  starvemas10       orgs11        hid11     killed11    starved11   leanmass11    fatmass11   killmass11  starvemas11       orgs12        hid12     killed12    starved12   leanmass12    fatmass12   killmass12  starvemas12       orgs13        hid13     killed13    starved13   leanmass13    fatmass13   killmass13  starvemas13       orgs14        hid14     killed14    starved14   leanmass14    fatmass14   killmass14  starvemas14       orgs15        hid15     killed15    starved15   leanmass15    fatmass15   killmass15  starvemas15       orgs16        hid16     killed16    starved16   leanmass16    fatmass16   killmass16  starvemas16       orgs17        hid17     killed17    starved17   leanmass17    fatmass17   killmass17  starvemas17       orgs18        hid18     killed18    starved18   leanmass18    fatmass18   killmass18  starvemas18       orgs19        hid19     killed19    starved19   leanmass19    fatmass19   killmass19  starvemas19       orgs20        hid20     killed20    starved20   leanmass20    fatmass20   killmass20  starvemas20       orgs21        hid21     killed21    starved21   leanmass21    fatmass21   killmass21  starvemas21       orgs22        hid22     killed22    starved22   leanmass22    fatmass22   killmass22  starvemas22       orgs23        hid23     killed23    starved23   leanmass23    fatmass23   killmass23  starvemas23       orgs24        hid24     killed24    starved24   leanmass24    fatmass24   killmass24  starvemas24       orgs25        hid25     killed25    starved25   leanmass25    fatmass25   killmass25  starvemas25       orgs26        hid26     killed26    starved26   leanmass26    fatmass26   killmass26  starvemas26       orgs27        hid27     killed27    starved27   leanmass27    fatmass27   killmass27  starvemas27       orgs28        hid28     killed28    starved28   leanmass28    fatmass28   killmass28  starvemas28       orgs29        hid29     killed29    starved29   leanmass29    fatmass29   killmass29  starvemas29       orgs30        hid30     killed30    starved30   leanmass30    fatmass30   killmass30  starvemas30       orgs31        hid31     killed31    starved31   leanmass31    fatmass31   killmass31  starvemas31       orgs32        hid32     killed32    starved32   leanmass32    fatmass32   killmass32  starvemas32
                             0            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.4267    8204.2828       0.0000       0.0000            9            0            0            0   44149.6163   10317.1648       0.0000       0.0000            8            0            0            0   46066.1680    7386.1524       0.0000       0.0000            7            0            0            0   48296.7618    9313.4944       0.0000       0.0000            6            0            0            0   46485.1561   10588.1664       0.0000       0.0000            6            0            0            0   53929.3103   13277.9257       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44763.6818    7089.9709       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.6427    9405.0561       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.1833   10188.0698       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.6962    7147.3188       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21055.8795    7507.5997       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.4267    8204.2828       0.0000       0.0000            9            0            0            0   44149.6163   10317.1648       0.0000       0.0000            8            0            0            0   46066.3007    7562.0726       0.0000       0.0000            7            0            0            0   48296.7618    9313.4944       0.0000       0.0000            6            0            0            0   46485.1561   10588.1664       0.0000       0.0000            6            0            0            0   53929.3103   13277.9257       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44763.7384    7376.2608       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.6427    9405.0561       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.1833   10188.0698       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.6962    7147.3188       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21055.8795    7507.5997       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.4267    8204.2828       0.0000       0.0000            9            0            0            0   44149.8475   10363.8188       0.0000       0.0000            8            0            0            0   46066.3007    7562.0726       0.0000       0.0000            7            0            0            0   48296.7618    9313.4944       0.0000       0.0000            6            0            0            0   46485.1561   10588.1664       0.0000       0.0000            6            0            0            0   53929.3103   13277.9257       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44763.7384    7376.2608       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.6427    9405.0561       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.1833   10188.0698       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.6962    7147.3188       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21055.8795    7507.5997       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.4267    8204.2828       0.0000       0.0000            9            0            0            0   44150.1302   10446.2531       0.0000       0.0000            8            0            0            0   46066.8950    7860.5274       0.0000       0.0000            7            0            0            0   48296.7618    9313.4944       0.0000       0.0000            6            0            0            0   46485.4067   10785.2227       0.0000       0.0000            6            0            0            0   53929.3103   13277.9257       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44763.7384    7376.2608       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.1833   10188.0698       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.6962    7147.3188       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21055.8795    7507.5997       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.4267    8204.2828       0.0000       0.0000            9            0            0            0   44150.1302   10446.2531       0.0000       0.0000            8            0            0            0   46066.8950    7860.5274       0.0000       0.0000            7            0            0            0   48296.7618    9313.4944       0.0000       0.0000            6            0            0            0   46485.4067   10785.2227       0.0000       0.0000            6            0            0            0   53929.7202   13399.3885       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44764.1439    7785.2328       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.4780   10402.6161       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.9851    7814.9766       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21056.0603    7885.9982       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.9205    8245.7853       0.0000       0.0000            9            0            0            0   44150.1302   10446.2531       0.0000       0.0000            8            0            0            0   46066.8950    7860.5274       0.0000       0.0000            7            0            0            0   48297.3001    9474.4777       0.0000       0.0000            6            0            0            0   46485.4067   10785.2227       0.0000       0.0000            6            0            0            0   53929.7202   13399.3885       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44764.1439    7785.2328       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.4780   10402.6161       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.9851    7814.9766       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21056.0603    7885.9982       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36203.9205    8245.7853       0.0000       0.0000            9            0            0            0   44150.1302   10446.2531       0.0000       0.0000            8            0            0            0   46066.8950    7860.5274       0.0000       0.0000            7            0            0            0   48297.3001    9474.4777       0.0000       0.0000            6            0            0            0   46485.4067   10785.2227       0.0000       0.0000            6            0            0            0   53929.7202   13399.3885       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44764.1439    7785.2328       0.0000       0.0000            4            0            0            0   47961.6690    9685.3314       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.4780   10402.6161       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.9851    7814.9766       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21056.0603    7885.9982       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36204.6077    8314.6835       0.0000       0.0000            9            0            0            0   44150.1302   10446.2531       0.0000       0.0000            8            0            0            0   46066.8950    7860.5274       0.0000       0.0000            7            0            0            0   48298.1495    9606.9151       0.0000       0.0000            6            0            0            0   46486.1462   10963.4626       0.0000       0.0000            6            0            0            0   53931.2772   13784.0807       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44764.1439    7785.2328       0.0000       0.0000            4            0            0            0   47962.4546    9955.8046       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.4780   10402.6161       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34193.7277    9095.6311       0.0000       0.0000            2            0            0            0   36120.9851    7814.9766       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21056.0603    7885.9982       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36207.1311    8474.3913       0.0000       0.0000            9            0            0            0   44150.1302   10446.2531       0.0000       0.0000            8            0            0            0   46066.8950    7860.5274       0.0000       0.0000            7            0            0            0   48298.1495    9606.9151       0.0000       0.0000            6            0            0            0   46486.1462   10963.4626       0.0000       0.0000            6            0            0            0   53931.2772   13784.0807       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44764.1439    7785.2328       0.0000       0.0000            4            0            0            0   47963.3059   10404.2632       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.4780   10402.6161       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34194.3944    9418.5339       0.0000       0.0000            2            0            0            0   36120.9851    7814.9766       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21056.0603    7885.9982       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000           10            0            0            0   36207.1311    8474.3913       0.0000       0.0000            9            0            0            0   44151.1001   10539.9869       0.0000       0.0000            8            0            0            0   46067.9405    7964.8080       0.0000       0.0000            7            0            0            0   48298.1495    9606.9151       0.0000       0.0000            6            0            0            0   46487.2347   11058.7287       0.0000       0.0000            6            0            0            0   53931.2772   13784.0807       0.0000       0.0000            5            0            0            0   49577.9690    6224.9349       0.0000       0.0000            4            0            0            0   44764.1439    7785.2328       0.0000       0.0000            4            0            0            0   47964.2108   10571.4902       0.0000       0.0000            4            0            0            0   52244.9390    9669.4790       0.0000       0.0000            3            0            0            0   42070.4426    9348.5901       0.0000       0.0000            3            0            0            0   43852.0160   11916.7576       0.0000       0.0000            3            0            0            0   47337.4780   10402.6161       0.0000       0.0000            2            0            0            0   33253.4113    5814.6796       0.0000       0.0000            2            0            0            0   34194.3944    9418.5339       0.0000       0.0000            2            0            0            0   36120.9851    7814.9766       0.0000       0.0000            2            0            0            0   37112.6994   12993.0178       0.0000       0.0000            1            0            0            0   19396.6456     595.6659       0.0000       0.0000            1            0            0            0   19558.2021    4990.9875       0.0000       0.0000            1            0            0            0   20249.8772    5835.8084       0.0000       0.0000            1            0            0            0   20794.7503    5769.1762       0.0000       0.0000            1            0            0            0   21056.0603    7885.9982       0.0000       0.0000            1            0            0            0   21600.3588    7398.8380       0.0000       0.0000            1            0            0            0   22108.9525    3915.7036       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
