BioMASSver                             0.22
date                             2016/06/07
hour                               17:39:11
refuges                                 266
refs_minrad                         50.6285
refs_maxrad                        247.6197
refs_areafrac                        0.0100
refs_disp                        11883.1793
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.3277      90.0268     109.7259     129.4250     149.1241     168.8232     188.5223     208.2215     227.9206     247.6197
refs_count                               24           33           28           22           30           34           23           26           27           19
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            2            8            8            1           29           24            5           26           53           19
                          7200            2            8            8            1           29           24            5           26           53           19
                         10800           11           19           15           15           68           49           43           65          129           52
                         14400           11           19           15           15           68           49           43           65          129           52
                         18000           34           73           70           79          257          117           81          118          216          115
                         21600           34           73           70           79          257          117           81          118          216          115
                         25200           34           73           70           79          257          117           81          118          216          115
                         28800           81          203          140          159          398          259          163          206          269          170
                         32400           81          203          140          159          398          259          163          206          269          170
                         36000          119          306          248          217          523          385          208          290          356          222
                         39600          119          306          248          217          523          385          208          290          356          222
                         43200          119          306          248          217          523          385          208          290          356          222
                         46800          154          409          317          348          637          463          240          346          405          252
                         50400          154          409          317          348          637          463          240          346          405          252
                         54000          186          464          368          378          699          516          268          382          453          288
                         57600          186          464          368          378          699          516          268          382          453          288
                         61200          212          534          407          409          742          569          307          428          491          309
                         64800          212          534          407          409          742          569          307          428          491          309
                         68400          212          534          407          409          742          569          307          428          491          309
                         72000          225          591          436          452          780          637          334          455          524          327
                         75600          225          591          436          452          780          637          334          455          524          327
                         79200          238          648          468          472          875          686          361          489          559          351
                         82800          238          648          468          472          875          686          361          489          559          351
                         86400          238          648          468          472          875          686          361          489          559          351
                         90000          254          688          513          500          925          741          376          508          594          374
                         93600          254          688          513          500          925          741          376          508          594          374
