BioMASSver                             0.22
date                             2014/01/14
hour                               15:30:52
refuges                                 251
refs_minrad                         50.2789
refs_maxrad                        249.3194
refs_areafrac                        0.0100
refs_disp                        12744.6311
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.1830      90.0870     109.9911     129.8951     149.7992     169.7032     189.6072     209.5113     229.4153     249.3194
refs_count                               18           22           28           33           28           21           21           27           29           24
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            3            3            7            8           11           16            6           32           38           39
                          7200            3            3            7            8           11           16            6           32           38           39
                         10800           10            7           31           23           21           46           22           73          206           81
                         14400           10            7           31           23           21           46           22           73          206           81
                         18000           22           79           91           92           66           69           95          152          396          170
                         21600           22           79           91           92           66           69           95          152          396          170
                         25200           22           79           91           92           66           69           95          152          396          170
                         28800           54          171          161          182          164          154          162          241          634          277
                         32400           54          171          161          182          164          154          162          241          634          277
