BioMASSver                             0.22
date                             2016/05/12
hour                               13:07:57
refuges                                 244
refs_minrad                         50.1265
refs_maxrad                        249.4447
refs_areafrac                        0.0100
refs_disp                        11754.1725
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.0583      89.9902     109.9220     129.8538     149.7856     169.7174     189.6492     209.5810     229.5129     249.4447
refs_count                               23           20           27           23           27           27           16           24           24           33
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            1            2            5            7            6           32           31           22           20           66
                          7200            1            2            5            7            6           32           31           22           20           66
                         10800           14            9           16           20           31           43           55           42           68          289
                         14400           14            9           16           20           31           43           55           42           68          289
                         18000           54           24           95          147          109          107           89          105          135          529
                         21600           54           24           95          147          109          107           89          105          135          529
                         25200           54           24           95          147          109          107           89          105          135          529
                         28800          104           43          153          229          203          208          146          164          235          745
                         32400          104           43          153          229          203          208          146          164          235          745
                         36000          133           72          212          291          309          281          191          213          326          879
                         39600          133           72          212          291          309          281          191          213          326          879
                         43200          133           72          212          291          309          281          191          213          326          879
                         46800          158           99          262          376          407          354          215          254          403         1040
                         50400          158           99          262          376          407          354          215          254          403         1040
                         54000          174          116          307          417          466          397          252          290          462         1143
                         57600          174          116          307          417          466          397          252          290          462         1143
                         61200          189          131          347          461          537          458          265          319          505         1214
                         64800          189          131          347          461          537          458          265          319          505         1214
                         68400          189          131          347          461          537          458          265          319          505         1214
                         72000          209          140          369          497          597          496          282          343          554         1263
                         75600          209          140          369          497          597          496          282          343          554         1263
                         79200          224          152          406          535          666          543          305          374          598         1313
                         82800          224          152          406          535          666          543          305          374          598         1313
                         86400          224          152          406          535          666          543          305          374          598         1313
                         90000          238          164          439          578          723          589          318          395          639         1400
                         93600          238          164          439          578          723          589          318          395          639         1400
                         97200          251          178          476          607          777          613          344          413          686         1471
                        100800          251          178          476          607          777          613          344          413          686         1471
                        104400          273          198          505          650          814          648          355          436          717         1548
                        108000          273          198          505          650          814          648          355          436          717         1548
                        111600          273          198          505          650          814          648          355          436          717         1548
                        115200          291          210          531          677          875          681          366          465          744         1597
                        118800          291          210          531          677          875          681          366          465          744         1597
                        122400          308          222          559          719          916          724          380          491          774         1675
                        126000          308          222          559          719          916          724          380          491          774         1675
                        129600          308          222          559          719          916          724          380          491          774         1675
                        133200          326          235          590          746          958          768          391          512          825         1749
                        136800          326          235          590          746          958          768          391          512          825         1749
                        140400          335          251          621          767         1013          793          404          555          880         1813
                        144000          335          251          621          767         1013          793          404          555          880         1813
                        147600          344          260          666          797         1062          828          417          585          921         1866
                        151200          344          260          666          797         1062          828          417          585          921         1866
                        154800          344          260          666          797         1062          828          417          585          921         1866
                        158400          362          269          683          823         1101          859          433          606          968         1924
                        162000          362          269          683          823         1101          859          433          606          968         1924
                        165600          376          275          709          844         1145          899          449          628         1001         2030
                        169200          376          275          709          844         1145          899          449          628         1001         2030
                        172800          376          275          709          844         1145          899          449          628         1001         2030
                        176400          384          288          734          880         1180          929          456          646         1051         2102
                        180000          384          288          734          880         1180          929          456          646         1051         2102
                        183600          395          305          763          906         1210          961          474          679         1089         2156
                        187200          395          305          763          906         1210          961          474          679         1089         2156
                        190800          411          316          786          944         1294          989          487          701         1126         2226
                        194400          411          316          786          944         1294          989          487          701         1126         2226
                        198000          411          316          786          944         1294          989          487          701         1126         2226
                        201600          427          329          878          962         1328         1025          499          717         1180         2269
                        205200          427          329          878          962         1328         1025          499          717         1180         2269
                        208800          441          342          900          990         1349         1047          515          735         1215         2317
                        212400          441          342          900          990         1349         1047          515          735         1215         2317
                        216000          441          342          900          990         1349         1047          515          735         1215         2317
                        219600          453          351          917         1010         1374         1067          527          786         1259         2377
                        223200          453          351          917         1010         1374         1067          527          786         1259         2377
                        226800          462          367          944         1032         1402         1083          545          805         1317         2426
                        230400          462          367          944         1032         1402         1083          545          805         1317         2426
                        234000          474          379          971         1066         1435         1117          558          817         1353         2498
                        237600          474          379          971         1066         1435         1117          558          817         1353         2498
                        241200          474          379          971         1066         1435         1117          558          817         1353         2498
                        244800          491          384          988         1093         1473         1142          581          833         1404         2554
                        248400          491          384          988         1093         1473         1142          581          833         1404         2554
                        252000          505          389         1021         1112         1506         1177          593          858         1441         2686
                        255600          505          389         1021         1112         1506         1177          593          858         1441         2686
                        259200          505          389         1021         1112         1506         1177          593          858         1441         2686
                        262800          517          398         1043         1138         1535         1200          608          874         1465         2758
                        266400          517          398         1043         1138         1535         1200          608          874         1465         2758
                        270000          531          408         1062         1157         1561         1231          626          892         1475         2832
                        273600          531          408         1062         1157         1561         1231          626          892         1475         2832
                        277200          542          416         1100         1187         1593         1260          631          902         1510         2892
                        280800          542          416         1100         1187         1593         1260          631          902         1510         2892
                        284400          542          416         1100         1187         1593         1260          631          902         1510         2892
                        288000          544          421         1128         1203         1626         1294          641          916         1541         2934
                        291600          544          421         1128         1203         1626         1294          641          916         1541         2934
                        295200          553          427         1152         1230         1660         1324          652          933         1561         2968
                        298800          553          427         1152         1230         1660         1324          652          933         1561         2968
                        302400          553          427         1152         1230         1660         1324          652          933         1561         2968
