BioMASSver                             0.22
date                             2024/11/05
hour                               14:22:01
biomass.model.taxonomy.Plant2 
Generic                       
Plant                         
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                            400
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                             0          400            0            0            0  178023.5837   83775.8041       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600          400            0            0            0   24866.2536   11701.7664  239165.3669       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200          400            0            0            0   29470.4399   13868.4423  239165.3669       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800          400            0            0            0   28283.8291   13310.0372  457135.1542       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400          400            0            0            0   35866.3873   16878.2999  457135.1542       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000          400            0            0            0   44350.4801   20870.8142  820076.6404       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600          400            0            0            0   47885.9437   22534.5617  820076.6404       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200          400            0            0            0   53071.9924   24975.0552  820076.6404       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800          400            0            0            0   58704.0665   27625.4431 1144462.9315       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400          400            0            0            0   65388.6524   30771.1305 1144462.9315       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000          400            0            0            0   75530.5092   35543.7690 1362787.6158       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600          400            0            0            0   80786.2361   38017.0523 1362787.6158       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200          400            0            0            0   87783.0229   41309.6578 1362787.6158       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         46800          400            0            0            0   95696.8167   45033.7961 1520962.0823       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         50400          400            0            0            0  102611.2258   48287.6357 1520962.0823       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         54000          400            0            0            0  112144.0679   52773.6790 1660013.9173       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         57600          400            0            0            0  117474.0733   55281.9169 1660013.9173       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         61200          400            0            0            0  129330.9339   60861.6160 1790468.2222       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         64800          400            0            0            0  134102.5957   63107.1039 1790468.2222       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         68400          400            0            0            0  142837.2603   67217.5343 1790468.2222       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
