BioMASSver                             0.22
date                             2017/12/07
hour                               12:23:51
refuges                                 268
refs_minrad                         51.8931
refs_maxrad                        249.3271
refs_areafrac                        0.0100
refs_disp                        12182.4839
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        71.6365      91.3799     111.1233     130.8667     150.6101     170.3535     190.0969     209.8403     229.5837     249.3271
refs_count                               32           32           23           31           24           30           24           27           25           20
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            4            6            5           12            4           16            8           32           21           32
                          7200            4            6            5           12            4           16            8           32           21           32
                         10800           13           16           18           28           17           41           40           87           57           81
                         14400           13           16           18           28           17           41           40           87           57           81
                         18000           65           63           71          125           63           97          105          159          165          136
                         21600           65           63           71          125           63           97          105          159          165          136
                         25200           65           63           71          125           63           97          105          159          165          136
                         28800          157          165          121          241          142          191          172          231          287          209
                         32400          157          165          121          241          142          191          172          231          287          209
                         36000          216          252          192          321          222          313          257          323          350          276
                         39600          216          252          192          321          222          313          257          323          350          276
                         43200          216          252          192          321          222          313          257          323          350          276
                         46800          288          336          239          402          278          388          314          394          427          312
                         50400          288          336          239          402          278          388          314          394          427          312
                         54000          336          395          273          462          319          454          348          433          466          352
                         57600          336          395          273          462          319          454          348          433          466          352
                         61200          364          422          294          514          342          500          372          471          531          396
                         64800          364          422          294          514          342          500          372          471          531          396
                         68400          364          422          294          514          342          500          372          471          531          396
                         72000          398          456          320          564          368          545          405          508          574          425
                         75600          398          456          320          564          368          545          405          508          574          425
                         79200          436          505          347          617          395          608          447          552          610          449
                         82800          436          505          347          617          395          608          447          552          610          449
                         86400          436          505          347          617          395          608          447          552          610          449
                         90000          473          539          370          656          417          651          479          579          690          472
                         93600          473          539          370          656          417          651          479          579          690          472
                         97200          561          586          388          679          444          680          500          621          722          498
                        100800          561          586          388          679          444          680          500          621          722          498
                        104400          607          626          413          712          467          801          526          656          751          525
                        108000          607          626          413          712          467          801          526          656          751          525
                        111600          607          626          413          712          467          801          526          656          751          525
                        115200          636          661          442          748          497          853          546          696          784          546
                        118800          636          661          442          748          497          853          546          696          784          546
                        122400          666          691          467          786          518          905          581          720          819          575
                        126000          666          691          467          786          518          905          581          720          819          575
                        129600          666          691          467          786          518          905          581          720          819          575
                        133200          690          713          497          811          536          929          617          743          849          614
                        136800          690          713          497          811          536          929          617          743          849          614
                        140400          713          749          518          842          560          970          635          778          873          642
                        144000          713          749          518          842          560          970          635          778          873          642
                        147600          726          826          544          892          585         1023          670          798          927          670
                        151200          726          826          544          892          585         1023          670          798          927          670
                        154800          726          826          544          892          585         1023          670          798          927          670
                        158400          760          855          563          931          603         1066          716          824          959          684
                        162000          760          855          563          931          603         1066          716          824          959          684
                        165600          790          883          584          974          638         1102          750          847          981          701
                        169200          790          883          584          974          638         1102          750          847          981          701
                        172800          790          883          584          974          638         1102          750          847          981          701
                        176400          812          919          605         1005          663         1132          782          876         1004          719
                        180000          812          919          605         1005          663         1132          782          876         1004          719
