BioMASSver                             0.22
date                             2014/11/11
hour                               18:44:53
refuges                                 237
refs_minrad                         50.7069
refs_maxrad                        249.3661
refs_areafrac                        0.0100
refs_disp                        12354.6992
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.5728      90.4387     110.3047     130.1706     150.0365     169.9024     189.7684     209.6343     229.5002     249.3661
refs_count                               24           18           13           28           30           20           27           24           21           32
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            3            4            4            4           18           14           23           19           49           68
                          7200            3            4            4            4           18           14           23           19           49           68
                         10800           10           14           10           21           68           34           58           50          111          186
                         14400           10           14           10           21           68           34           58           50          111          186
                         18000           46           74           32           75          137          151          137           94          191          375
                         21600           46           74           32           75          137          151          137           94          191          375
                         25200           46           74           32           75          137          151          137           94          191          375
                         28800          129          106           52          172          221          210          229          170          271          554
                         32400          129          106           52          172          221          210          229          170          271          554
                         36000          186          138           90          274          292          321          313          238          320          740
                         39600          186          138           90          274          292          321          313          238          320          740
                         43200          186          138           90          274          292          321          313          238          320          740
                         46800          237          169          121          350          352          367          387          283          382          884
                         50400          237          169          121          350          352          367          387          283          382          884
                         54000          278          193          147          426          449          397          440          339          435          982
                         57600          278          193          147          426          449          397          440          339          435          982
                         61200          314          210          162          485          505          428          500          370          478         1074
                         64800          314          210          162          485          505          428          500          370          478         1074
                         68400          314          210          162          485          505          428          500          370          478         1074
                         72000          340          228          172          541          546          464          545          384          515         1161
                         75600          340          228          172          541          546          464          545          384          515         1161
                         79200          376          243          182          579          588          493          579          414          552         1244
                         82800          376          243          182          579          588          493          579          414          552         1244
                         86400          376          243          182          579          588          493          579          414          552         1244
                         90000          411          262          197          631          630          510          629          439          601         1327
                         93600          411          262          197          631          630          510          629          439          601         1327
                         97200          434          280          202          676          682          530          664          465          619         1404
                        100800          434          280          202          676          682          530          664          465          619         1404
                        104400          466          294          216          722          721          557          707          487          646         1460
                        108000          466          294          216          722          721          557          707          487          646         1460
                        111600          466          294          216          722          721          557          707          487          646         1460
                        115200          509          312          237          779          758          601          750          524          683         1505
                        118800          509          312          237          779          758          601          750          524          683         1505
                        122400          540          329          255          850          787          627          812          550          732         1565
                        126000          540          329          255          850          787          627          812          550          732         1565
                        129600          540          329          255          850          787          627          812          550          732         1565
                        133200          554          348          268          907          822          654          846          583          753         1625
                        136800          554          348          268          907          822          654          846          583          753         1625
                        140400          575          360          276          985          868          685          876          616          780         1735
                        144000          575          360          276          985          868          685          876          616          780         1735
                        147600          606          386          299         1039          914          721          913          639          802         1818
                        151200          606          386          299         1039          914          721          913          639          802         1818
                        154800          606          386          299         1039          914          721          913          639          802         1818
                        158400          683          402          315         1090          969          742          951          672          820         1871
                        162000          683          402          315         1090          969          742          951          672          820         1871
                        165600          711          421          329         1133         1027          764          976          691          838         1923
                        169200          711          421          329         1133         1027          764          976          691          838         1923
                        172800          711          421          329         1133         1027          764          976          691          838         1923
