BioMASSver                             0.22
date                             2016/05/12
hour                               13:34:03
refuges                                 244
refs_minrad                         50.1545
refs_maxrad                        249.6471
refs_areafrac                        0.0100
refs_disp                        12363.3471
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.1038      90.0530     110.0023     129.9516     149.9008     169.8501     189.7994     209.7486     229.6979     249.6471
refs_count                               25           24           17           25           25           18           31           27           27           25
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            3            4            4           10            9           11           25           29           36           59
                          7200            3            4            4           10            9           11           25           29           36           59
                         10800           20           12            5           29           24           36           80           82          143          136
                         14400           20           12            5           29           24           36           80           82          143          136
                         18000           62           58           37           67           65           91          215          175          332          252
                         21600           62           58           37           67           65           91          215          175          332          252
                         25200           62           58           37           67           65           91          215          175          332          252
                         28800          127           83           94          181          113          135          342          279          478          372
                         32400          127           83           94          181          113          135          342          279          478          372
