BioMASSver                             0.22
date                             2014/01/04
hour                               17:38:13
biomass.model.physiology.Plankton2
Generic                       
Plankton                      
longevity                             36499
linf                                 0.0000
t0                                   0.0000
k                                    0.5000
a                                    0.0000
b                                    0.0000
newborn_orgs                              4
pop_deathrate                        0.0007
rep_cycle                             18250
age_classes                               2
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01
                             0            4            0            0            0    1780.2358     837.7580       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600            4            0            0            0    1598.8233     752.3874     266.7831       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200            4            0            0            0    1598.8233     752.3874     266.7831       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800            4            0            0            0    1064.1271     500.7657    1053.1011       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400            4            0            0            0    1064.1271     500.7657    1053.1011       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000            4            0            0            0     787.1262     370.4123    1460.4553       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600            4            0            0            0     787.1262     370.4123    1460.4553       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200            4            0            0            0     787.1262     370.4123    1460.4553       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800            4            0            0            0     908.0550     427.3200    1584.3881       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400            4            0            0            0     988.4463     465.1512    1584.3881       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000            4            0            0            0     682.1693     321.0209    2034.9658       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600            4            0            0            0     682.1693     321.0209    2034.9658       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200            4            0            0            0     682.1693     321.0209    2034.9658       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
