BioMASSver                             0.22
date                             2016/05/12
hour                               13:36:01
biomass.model.taxonomy.Planktivore1
Girella-Nigricans             
Chopa-verde                   
longevity                              3904
linf                                68.3000
t0                                  -0.4200
k                                    0.2700
a                                    0.0199
b                                    3.0063
newborn_orgs                            800
pop_deathrate                        0.0007
rep_cycle                               365
age_classes                              11
                         steps       orgs00        hid00     killed00    starved00   leanmass00    fatmass00   killmass00  starvemas00       orgs01        hid01     killed01    starved01   leanmass01    fatmass01   killmass01  starvemas01       orgs02        hid02     killed02    starved02   leanmass02    fatmass02   killmass02  starvemas02       orgs03        hid03     killed03    starved03   leanmass03    fatmass03   killmass03  starvemas03       orgs04        hid04     killed04    starved04   leanmass04    fatmass04   killmass04  starvemas04       orgs05        hid05     killed05    starved05   leanmass05    fatmass05   killmass05  starvemas05       orgs06        hid06     killed06    starved06   leanmass06    fatmass06   killmass06  starvemas06       orgs07        hid07     killed07    starved07   leanmass07    fatmass07   killmass07  starvemas07       orgs08        hid08     killed08    starved08   leanmass08    fatmass08   killmass08  starvemas08       orgs09        hid09     killed09    starved09   leanmass09    fatmass09   killmass09  starvemas09       orgs10        hid10     killed10    starved10   leanmass10    fatmass10   killmass10  starvemas10
                             0            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          800            0            0            0  835452.0389  171970.3413       0.0000       0.0000          623            0            0            0 1136231.4538  239584.1903       0.0000       0.0000          485            0            0            0 1248378.1443  262364.6634       0.0000       0.0000          377            0            0            0 1242517.9295  257696.3191       0.0000       0.0000          294            0            0            0 1151750.0790  246624.0905       0.0000       0.0000          229            0            0            0 1020824.2114  208236.5307       0.0000       0.0000          178            0            0            0  873250.4489  189551.1936       0.0000       0.0000          139            0            0            0  731131.5197  142891.6949       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          3600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          635           48          165            0  669469.5024  138784.4275  199224.4981       0.0000          544           40           79            0  994004.2587  211812.8578  170015.2033       0.0000          446           16           39            0 1150258.9478  242200.9855  118533.3598       0.0000          362           25           15            0 1195143.8396  248046.1624   57104.7106       0.0000          285           13            9            0 1115868.9796  240852.3531   41834.1217       0.0000          229           14            0            0 1020824.4473  208365.8403       0.0000       0.0000          176            4            2            0  863461.2273  187283.9041   12125.9608       0.0000          139            4            0            0  731131.6208  143188.1416       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                          7200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          635           48          165            0  669471.5978  138753.7287  199224.4981       0.0000          544           40           79            0  994007.7151  211895.1607  170015.2033       0.0000          446           16           39            0 1150260.6183  242280.2849  118533.3598       0.0000          362           25           15            0 1195145.9290  248293.9399   57104.7106       0.0000          285           13            9            0 1115870.6530  241092.1041   41834.1217       0.0000          229           14            0            0 1020825.1928  208595.4271       0.0000       0.0000          176            4            2            0  863461.6860  187460.7072   12125.9608       0.0000          139            4            0            0  731131.7533  143303.4156       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         10800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          615          164          185            0  649430.8736  134994.7199  223311.2697       0.0000          538          121           85            0  983460.0420  209116.6186  183504.4599       0.0000          446           65           39            0 1150264.8239  242807.2024  118533.3598       0.0000          360           57           17            0 1189030.4155  247856.2992   64189.2807       0.0000          285           39            9            0 1115873.3087  242262.2145   41834.1217       0.0000          229           43            0            0 1020826.9184  209594.6960       0.0000       0.0000          176           16            2            0  863462.3257  187764.1734   12125.9608       0.0000          139            7            0            0  731132.2591  143723.3528       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         14400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          615          164          185            0  649437.4076  135178.8226  223311.2697       0.0000          538          121           85            0  983466.5959  209513.5293  183504.4599       0.0000          446           65           39            0 1150269.7086  243361.0802  118533.3598       0.0000          360           57           17            0 1189035.7608  248491.1180   64189.2807       0.0000          285           39            9            0 1115875.9938  242777.3035   41834.1217       0.0000          229           43            0            0 1020828.6175  210059.7474       0.0000       0.0000          176           16            2            0  863463.2330  188177.3742   12125.9608       0.0000          139            7            0            0  731132.7767  144330.2277       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         18000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          598          329          202            0  632682.7494  132865.8280  242632.2351       0.0000          533          248           90            0  974902.7474  208644.6575  193438.5674       0.0000          446          184           39            0 1150275.1233  243873.8778  118533.3598       0.0000          360          182           17            0 1189042.7979  250004.3941   64189.2807       0.0000          284          140           10            0 1111983.5386  242790.5111   46520.7635       0.0000          229          126            0            0 1020830.2346  210909.1064       0.0000       0.0000          176           79            2            0  863465.2366  189153.1897   12125.9608       0.0000          139           71            0            0  731133.2814  144757.1221       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         21600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          598          329          202            0  632696.4209  133563.9956  242632.2351       0.0000          533          248           90            0  974912.9385  209445.0347  193438.5674       0.0000          446          184           39            0 1150285.5248  245414.8171  118533.3598       0.0000          360          182           17            0 1189051.7796  252482.5819   64189.2807       0.0000          284          140           10            0 1111988.6430  244728.8886   46520.7635       0.0000          229          126            0            0 1020833.4519  212507.3859       0.0000       0.0000          176           79            2            0  863466.5268  190152.5732   12125.9608       0.0000          139           71            0            0  731134.8658  146439.1953       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         25200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          598          329          202            0  632711.1363  134131.0434  242632.2351       0.0000          533          248           90            0  974926.7515  210643.2953  193438.5674       0.0000          446          184           39            0 1150291.2300  245989.5972  118533.3598       0.0000          360          182           17            0 1189059.8715  254219.2938   64189.2807       0.0000          284          140           10            0 1111995.8120  246474.9501   46520.7635       0.0000          229          126            0            0 1020837.1202  214025.8496       0.0000       0.0000          176           79            2            0  863468.1579  191085.8061   12125.9608       0.0000          139           71            0            0  731136.5095  147599.7153       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         28800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          568          493          232            0  603328.4489  128609.4851  278081.8002       0.0000          524          417           99            0  959356.1560  209364.7191  210939.0357       0.0000          440          370           45            0 1134384.2523  243648.3842  138717.1127       0.0000          360          346           17            0 1189069.5528  256149.1089   64189.2807       0.0000          284          275           10            0 1111999.4122  247555.8783   46520.7635       0.0000          229          227            0            0 1020840.1166  215426.0085       0.0000       0.0000          176          153            2            0  863470.2318  192195.1182   12125.9608       0.0000          139          128            0            0  731139.6959  150459.7440       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         32400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          568          493          232            0  603345.4566  129344.8558  278081.8002       0.0000          524          417           99            0  959369.6565  210518.6028  210939.0357       0.0000          440          370           45            0 1134397.3467  245280.0965  138717.1127       0.0000          360          346           17            0 1189078.1243  257868.0700   64189.2807       0.0000          284          275           10            0 1112009.1359  250282.2244   46520.7635       0.0000          229          227            0            0 1020844.3380  217183.3711       0.0000       0.0000          176          153            2            0  863473.3114  193975.3787   12125.9608       0.0000          139          128            0            0  731142.2285  152401.2344       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         36000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          556          656          244            0  591697.7472  127346.0500  292359.6032       0.0000          522          586          101            0  955662.5951  211400.7310  215196.2817       0.0000          437          505           48            0 1126817.4861  244346.4169  148118.2315       0.0000          359          448           18            0 1185516.0419  258398.0728   68724.7483       0.0000          284          357           10            0 1112012.9558  251261.3221   46520.7635       0.0000          229          285            0            0 1020847.5310  218428.2313       0.0000       0.0000          175          199            3            0  858511.3033  194943.1492   18910.2793       0.0000          139          172            0            0  731143.9304  153617.7340       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         39600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          556          656          244            0  591716.7275  128167.8781  292359.6032       0.0000          522          586          101            0  955687.6917  213517.1669  215196.2817       0.0000          437          505           48            0 1126828.3010  245703.3645  148118.2315       0.0000          359          448           18            0 1185526.4802  260416.2260   68724.7483       0.0000          284          357           10            0 1112017.8031  252577.2037   46520.7635       0.0000          229          285            0            0 1020853.4214  220333.9970       0.0000       0.0000          175          199            3            0  858514.1696  196311.1357   18910.2793       0.0000          139          172            0            0  731146.0930  155078.3397       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         43200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          556          656          244            0  591735.9310  128980.3903  292359.6032       0.0000          522          586          101            0  955711.0883  215327.8107  215196.2817       0.0000          437          505           48            0 1126843.2706  247423.0419  148118.2315       0.0000          359          448           18            0 1185542.4111  263168.2322   68724.7483       0.0000          284          357           10            0 1112026.9262  254770.0503   46520.7635       0.0000          229          285            0            0 1020858.3909  221885.7706       0.0000       0.0000          175          199            3            0  858520.5470  198955.6502   18910.2793       0.0000          139          172            0            0  731146.9190  155590.7289       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         46800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          552          806          248            0  588050.0040  128567.7111  297131.4502       0.0000          517          721          106            0  946350.3819  215258.4255  226375.3235       0.0000          436          606           49            0 1124220.3845  249446.4103  151422.6644       0.0000          358          529           19            0 1182522.7932  264014.8840   73023.6562       0.0000          284          399           10            0 1112035.9367  256834.8472   46520.7635       0.0000          229          323            0            0 1020864.5565  223714.1715       0.0000       0.0000          175          234            3            0  858523.3103  200114.4745   18910.2793       0.0000          139          200            0            0  731148.6249  156539.0525       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         50400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          552          806          248            0  588074.6497  129562.8993  297131.4502       0.0000          517          721          106            0  946382.8419  217393.0720  226375.3235       0.0000          436          606           49            0 1124239.0418  251420.8659  151422.6644       0.0000          358          529           19            0 1182538.1163  266393.1823   73023.6562       0.0000          284          399           10            0 1112046.8045  258997.0408   46520.7635       0.0000          229          323            0            0 1020872.6734  226073.0050       0.0000       0.0000          175          234            3            0  858528.0306  201987.4360   18910.2793       0.0000          139          200            0            0  731150.0378  157279.6699       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         54000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          525          943          275            0  561272.1802  125281.0894  329377.3225       0.0000          512          817          111            0  937596.8771  217921.0536  236931.3931       0.0000          435          675           50            0 1121797.7233  252786.1556  154021.1583       0.0000          358          584           19            0 1182552.7147  268353.6027   73023.6562       0.0000          284          432           10            0 1112054.6922  260437.8097   46520.7635       0.0000          228          356            1            0 1016426.2187  226487.3866    5295.4469       0.0000          175          263            3            0  858533.2682  203825.7395   18910.2793       0.0000          139          215            0            0  731153.1702  158796.8556       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         57600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          525          943          275            0  561308.2357  126660.4202  329377.3225       0.0000          512          817          111            0  937623.2760  219592.8436  236931.3931       0.0000          435          675           50            0 1121823.0055  255027.6116  154021.1583       0.0000          358          584           19            0 1182576.6372  271356.9295   73023.6562       0.0000          284          432           10            0 1112073.2532  263618.8688   46520.7635       0.0000          228          356            1            0 1016440.9591  229980.4082    5295.4469       0.0000          175          263            3            0  858538.9674  205664.7289   18910.2793       0.0000          139          215            0            0  731156.4486  160289.2442       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         61200            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          516         1021          284            0  551228.8710  125116.0025  341680.8777       0.0000          509          931          114            0  931934.4495  221799.6084  243342.7573       0.0000          434          745           51            0 1119494.2467  256200.1963  157282.0222       0.0000          357          634           20            0 1179248.8390  273917.3836   76967.1699       0.0000          284          468           10            0 1112080.6368  264923.0870   46520.7635       0.0000          228          396            1            0 1016448.9366  231871.4702    5295.4469       0.0000          175          284            3            0  858545.6858  207689.5213   18910.2793       0.0000          139          232            0            0  731157.6296  160795.9606       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         64800            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          516         1021          284            0  551260.8730  126263.2455  341680.8777       0.0000          509          931          114            0  931968.9721  223698.2481  243342.7573       0.0000          434          745           51            0 1119530.6884  258988.5517  157282.0222       0.0000          357          634           20            0 1179254.1950  274561.0125   76967.1699       0.0000          284          468           10            0 1112095.8483  267366.0582   46520.7635       0.0000          228          396            1            0 1016457.6784  233698.3245    5295.4469       0.0000          175          284            3            0  858550.3971  209082.0940   18910.2793       0.0000          139          232            0            0  731162.1596  162526.2565       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         68400            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          516         1021          284            0  551292.3281  127295.1512  341680.8777       0.0000          509          931          114            0  932010.0107  225893.8754  243342.7573       0.0000          434          745           51            0 1119562.6451  261352.5336  157282.0222       0.0000          357          634           20            0 1179279.9487  277321.4192   76967.1699       0.0000          284          468           10            0 1112114.2168  270105.5638   46520.7635       0.0000          228          396            1            0 1016468.1020  235724.2061    5295.4469       0.0000          175          284            3            0  858554.3478  210263.9858   18910.2793       0.0000          139          232            0            0  731166.0968  164046.7344       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         72000            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          503         1097          297            0  538253.5942  125511.9015  357658.6433       0.0000          504         1046          119            0  922842.1904  225530.9173  254676.5861       0.0000          431          813           54            0 1112145.3306  262368.5795  166716.7056       0.0000          357          702           20            0 1179301.3460  279451.6148   76967.1699       0.0000          281          494           13            0 1100320.5733  268524.2406   61144.8718       0.0000          228          427            1            0 1016480.0712  238028.8333    5295.4469       0.0000          175          312            3            0  858555.9783  210723.8492   18910.2793       0.0000          139          247            0            0  731167.4792  164559.4553       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
                         75600            0            0            0            0       0.0000       0.0000       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000          503         1097          297            0  538300.0018  126894.9093  357658.6433       0.0000          504         1046          119            0  922889.4392  227664.0726  254676.5861       0.0000          431          813           54            0 1112178.8785  264695.3819  166716.7056       0.0000          357          702           20            0 1179328.3694  282079.4601   76967.1699       0.0000          281          494           13            0 1100336.5472  270742.8726   61144.8718       0.0000          228          427            1            0 1016492.6871  240321.8648    5295.4469       0.0000          175          312            3            0  858564.3275  212829.3859   18910.2793       0.0000          139          247            0            0  731173.2430  166519.4722       0.0000       0.0000            0            0            0            0       0.0000       0.0000       0.0000       0.0000
