BioMASSver                             0.22
date                             2015/05/29
hour                               11:11:33
refuges                                 259
refs_minrad                         51.7297
refs_maxrad                        249.3430
refs_areafrac                        0.0100
refs_disp                        12185.4757
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        71.4910      91.2523     111.0137     130.7750     150.5364     170.2977     190.0590     209.8204     229.5817     249.3430
refs_count                               28           27           27           25           24           31           23           27           22           25
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            1            7            6           11           14           14           11           44           34           37
                          7200            1            7            6           11           14           14           11           44           34           37
                         10800            5           19           17           37           35           39           33          139           87           89
                         14400            5           19           17           37           35           39           33          139           87           89
                         18000           40           86           63           97           92          128           55          259          133          212
                         21600           40           86           63           97           92          128           55          259          133          212
                         25200           40           86           63           97           92          128           55          259          133          212
