BioMASSver                             0.22
date                             2014/01/10
hour                               17:57:37
refuges                                 264
refs_minrad                         50.5496
refs_maxrad                        249.8488
refs_areafrac                        0.0100
refs_disp                        12419.7782
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.4795      90.4094     110.3393     130.2693     150.1992     170.1291     190.0590     209.9890     229.9189     249.8488
refs_count                               33           26           23           22           30           31           30           25           22           22
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            0            4            4            9            7           25           21           20           11           48
                          7200            0            4            4            9            7           25           21           20           11           48
                         10800            6           12           13           29           23           60           74           76           49          113
                         14400            6           12           13           29           23           60           74           76           49          113
                         18000           72           56           72          108           91          201          143          141          115          231
                         21600           72           56           72          108           91          201          143          141          115          231
                         25200           72           56           72          108           91          201          143          141          115          231
                         28800          162          120          118          209          191          302          269          262          205          298
                         32400          162          120          118          209          191          302          269          262          205          298
                         36000          241          184          155          282          270          421          386          332          273          373
                         39600          241          184          155          282          270          421          386          332          273          373
                         43200          241          184          155          282          270          421          386          332          273          373
                         46800          299          230          197          359          326          501          444          394          316          430
                         50400          299          230          197          359          326          501          444          394          316          430
                         54000          361          268          246          403          361          546          506          456          368          473
                         57600          361          268          246          403          361          546          506          456          368          473
