BioMASSver                             0.22
date                             2014/01/13
hour                               18:50:18
refuges                                 266
refs_minrad                         50.6661
refs_maxrad                        249.9940
refs_areafrac                        0.0100
refs_disp                        12167.4074
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.5989      90.5317     110.4645     130.3973     150.3301     170.2629     190.1957     210.1284     230.0612     249.9940
refs_count                               34           33           25           23           32           24           20           23           22           30
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            0            3            1            0            4           15            3            4            9           20
                          7200            0            3            1            0            4           15            3            4            9           20
                         10800            0            3            2            0            8           25            7            5           14           41
                         14400            0            3            2            0            8           25            7            5           14           41
                         18000            0            5            2            0           11           28           14            6           18           47
                         21600            0            5            2            0           11           28           14            6           18           47
                         25200            0            5            2            0           11           28           14            6           18           47
                         28800            1            7            2           10           13           38           15           21           24           62
                         32400            1            7            2           10           13           38           15           21           24           62
                         36000            4           11            2           10           14           39           15           25           27           68
                         39600            4           11            2           10           14           39           15           25           27           68
                         43200            4           11            2           10           14           39           15           25           27           68
                         46800            4           13            2           12           17           40           16           29           30           70
                         50400            4           13            2           12           17           40           16           29           30           70
                         54000            4           15            2           12           17           40           16           29           31           79
                         57600            4           15            2           12           17           40           16           29           31           79
                         61200            4           15            2           12           17           40           16           29           31           79
                         64800            4           15            2           12           17           40           16           29           31           79
                         68400            4           15            2           12           17           40           16           29           31           79
                         72000            4           15            2           12           17           40           16           29           31           80
                         75600            4           15            2           12           17           40           16           29           31           80
                         79200            4           15            2           12           17           40           16           29           32           80
                         82800            4           15            2           12           17           40           16           29           32           80
                         86400            4           15            2           12           17           40           16           29           32           80
                         90000            4           15            2           12           17           40           16           29           32           80
                         93600            4           15            2           12           17           40           16           29           32           80
                         97200            4           15            2           12           17           40           16           29           34           80
                        100800            4           15            2           12           17           40           16           29           34           80
                        104400            4           15            2           12           17           42           16           29           34           80
                        108000            4           15            2           12           17           42           16           29           34           80
                        111600            4           15            2           12           17           42           16           29           34           80
                        115200            4           15            2           12           17           42           16           29           34           80
                        118800            4           15            2           12           17           42           16           29           34           80
                        122400            4           15            2           12           17           42           16           29           34           80
                        126000            4           15            2           12           17           42           16           29           34           80
                        129600            4           15            2           12           17           42           16           29           34           80
                        133200            4           15            2           12           17           42           16           29           34           80
                        136800            4           15            2           12           17           42           16           29           34           80
                        140400            4           15            2           12           17           42           16           29           34           80
                        144000            4           15            2           12           17           42           16           29           34           80
                        147600            4           15            2           12           17           42           16           29           34           80
                        151200            4           15            2           12           17           42           16           29           34           80
                        154800            4           15            2           12           17           42           16           29           34           80
                        158400            4           15            2           12           17           42           16           29           34           80
                        162000            4           15            2           12           17           42           16           29           34           80
                        165600            4           15            2           12           17           42           16           29           34           80
                        169200            4           15            2           12           17           42           16           29           34           80
                        172800            4           15            2           12           17           42           16           29           34           80
                        176400            4           15            2           12           17           42           16           29           34           80
                        180000            4           15            2           12           17           42           16           29           34           80
                        183600            4           15            2           12           17           42           16           29           34           80
                        187200            4           15            2           12           17           42           16           29           34           80
