BioMASSver                             0.22
date                             2016/02/22
hour                               17:03:13
refuges                                 244
refs_minrad                         50.2665
refs_maxrad                        249.9676
refs_areafrac                        0.0100
refs_disp                        12547.0418
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.2366      90.2067     110.1768     130.1469     150.1171     170.0872     190.0573     210.0274     229.9975     249.9676
refs_count                               27           30           25           14           19           23           21           30           21           34
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            1            3            7           11           15           13           50           25           64           33
                          7200            1            3            7           11           15           13           50           25           64           33
                         10800           11           20           17           64           35           36           82           68          124          124
                         14400           11           20           17           64           35           36           82           68          124          124
                         18000           46           83           88          103           69           73          208          181          220          297
                         21600           46           83           88          103           69           73          208          181          220          297
                         25200           46           83           88          103           69           73          208          181          220          297
                         28800          145          142          161          152          114          143          341          291          336          492
                         32400          145          142          161          152          114          143          341          291          336          492
                         36000          201          213          270          191          170          208          431          364          413          623
                         39600          201          213          270          191          170          208          431          364          413          623
                         43200          201          213          270          191          170          208          431          364          413          623
                         46800          246          265          351          223          226          263          493          422          462          734
                         50400          246          265          351          223          226          263          493          422          462          734
