BioMASSver                             0.22
date                             2024/11/05
hour                               14:22:01
refuges                                 256
refs_minrad                         50.8543
refs_maxrad                        249.4596
refs_areafrac                        0.0100
refs_disp                        12610.7994
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        70.7148      90.5753     110.4358     130.2964     150.1569     170.0174     189.8780     209.7385     229.5990     249.4596
refs_count                               24           28           25           33           22           24           23           22           30           25
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            3            6            7            9           16           15           29           22           33           53
                          7200            3            6            7            9           16           15           29           22           33           53
                         10800            7           20           18           46           36           35           91           57           77          103
                         14400            7           20           18           46           36           35           91           57           77          103
                         18000           30           88           74          129           79           86          203          134          174          166
                         21600           30           88           74          129           79           86          203          134          174          166
                         25200           30           88           74          129           79           86          203          134          174          166
                         28800           75          186          143          265          141          161          333          223          358          222
                         32400           75          186          143          265          141          161          333          223          358          222
                         36000          121          260          198          363          204          233          472          279          470          291
                         39600          121          260          198          363          204          233          472          279          470          291
                         43200          121          260          198          363          204          233          472          279          470          291
                         46800          148          306          251          429          254          296          605          342          578          334
                         50400          148          306          251          429          254          296          605          342          578          334
                         54000          176          347          288          522          290          343          671          376          634          365
                         57600          176          347          288          522          290          343          671          376          634          365
                         61200          203          379          322          579          319          386          713          418          694          394
                         64800          203          379          322          579          319          386          713          418          694          394
                         68400          203          379          322          579          319          386          713          418          694          394
                         72000          222          407          355          624          350          441          766          453          737          420
                         75600          222          407          355          624          350          441          766          453          737          420
                         79200          241          422          392          664          379          488          816          482          799          445
                         82800          241          422          392          664          379          488          816          482          799          445
                         86400          241          422          392          664          379          488          816          482          799          445
                         90000          265          453          419          704          410          522          870          510          854          465
                         93600          265          453          419          704          410          522          870          510          854          465
                         97200          284          484          445          747          436          552          898          537          894          489
                        100800          284          484          445          747          436          552          898          537          894          489
                        104400          299          518          465          784          461          580          950          558          939          524
                        108000          299          518          465          784          461          580          950          558          939          524
                        111600          299          518          465          784          461          580          950          558          939          524
                        115200          317          539          486          812          470          610          976          610         1039          622
                        118800          317          539          486          812          470          610          976          610         1039          622
                        122400          338          563          499          855          485          637          993          642         1121          653
                        126000          338          563          499          855          485          637          993          642         1121          653
                        129600          338          563          499          855          485          637          993          642         1121          653
                        133200          355          581          518          899          500          673         1015          668         1172          684
                        136800          355          581          518          899          500          673         1015          668         1172          684
                        140400          378          607          539          948          519          696         1036          685         1212          701
                        144000          378          607          539          948          519          696         1036          685         1212          701
                        147600          390          623          557          986          533          734         1092          697         1274          742
                        151200          390          623          557          986          533          734         1092          697         1274          742
                        154800          390          623          557          986          533          734         1092          697         1274          742
                        158400          400          646          571         1025          553          768         1133          718         1302          767
                        162000          400          646          571         1025          553          768         1133          718         1302          767
                        165600          411          661          595         1051          588          802         1164          741         1344          794
                        169200          411          661          595         1051          588          802         1164          741         1344          794
                        172800          411          661          595         1051          588          802         1164          741         1344          794
                        176400          432          687          613         1076          626          845         1194          769         1369          840
                        180000          432          687          613         1076          626          845         1194          769         1369          840
                        183600          441          714          642         1112          645          871         1231          786         1406          861
                        187200          441          714          642         1112          645          871         1231          786         1406          861
