BioMASSver                             0.22
date                             2014/01/04
hour                               17:39:55
refuges                                 240
refs_minrad                         52.0970
refs_maxrad                        249.6399
refs_areafrac                        0.0100
refs_disp                        12394.7324
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        71.8513      91.6056     111.3599     131.1142     150.8685     170.6228     190.3771     210.1313     229.8856     249.6399
refs_count                               20           27           15           35           20           17           27           27           28           24
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            6            6           26           10           10           14           26           23           72           32
                          7200            6            6           26           10           10           14           26           23           72           32
                         10800           10           17           29           24           26           35           94           84          150          121
                         14400           10           17           29           24           26           35           94           84          150          121
                         18000           90           83           47           94           45           84          174          172          248          204
                         21600           90           83           47           94           45           84          174          172          248          204
                         25200           90           83           47           94           45           84          174          172          248          204
                         28800          193          179           95          223           85          171          288          349          352          327
                         32400          193          179           95          223           85          171          288          349          352          327
                         36000          259          260          136          357          126          218          392          445          461          421
                         39600          259          260          136          357          126          218          392          445          461          421
                         43200          259          260          136          357          126          218          392          445          461          421
