BioMASSver                             0.22
date                             2014/01/16
hour                               00:43:39
refuges                                 251
refs_minrad                         50.0169
refs_maxrad                        248.6873
refs_areafrac                        0.0100
refs_disp                        12187.7779
refs_sizeclasses                         10
refs_sizeclass                      class00      class01      class02      class03      class04      class05      class06      class07      class08      class09
refs_maxsize                        69.8839      89.7510     109.6180     129.4850     149.3521     169.2191     189.0862     208.9532     228.8202     248.6873
refs_count                               32           22           24           25           22           22           29           17           26           32
refs_use                  step
                             0            0            0            0            0            0            0            0            0            0            0
                          3600            3            7            6            1           14           11            8           14           35           11
                          7200            3            7            6            1           14           11            8           14           35           11
                         10800            3            9            6            1           16           12           14           20           69           28
                         14400            3            9            6            1           16           12           14           20           69           28
                         18000            7           10           27           11           17           17           17           22           81           36
                         21600            7           10           27           11           17           17           17           22           81           36
                         25200            7           10           27           11           17           17           17           22           81           36
                         28800           13           19           39           20           19           21           34           23           99          123
                         32400           13           19           39           20           19           21           34           23           99          123
